mu,sigma,runtime,fn.evals,K,gp
0.049172148384139594,0.28204807965672474,0.546875,21.0,25.0,0.0
0.11716290050101662,0.5735820162191635,0.0625,10.0,50.0,1.0
0.05326382898421036,0.7357081204572373,0.3125,16.0,100.0,2.0
0.05516934732418252,0.8927493618740361,0.328125,9.0,250.0,3.0
-0.016395845766622993,0.6048314664375207,0.390625,11.0,500.0,4.0
0.031472852566677575,0.3589882745864486,0.09375,13.0,25.0,0.0
0.03168864929242313,0.5017429617557412,0.046875,7.0,50.0,1.0
0.006277900808327082,0.6935983010247125,0.34375,6.0,100.0,2.0
0.07734872094794158,1.060903947124525,0.375,10.0,250.0,3.0
-0.001188093211390098,0.6227664208000012,0.28125,9.0,500.0,4.0
0.055164569007738334,0.2806877591307649,0.390625,17.0,25.0,0.0
0.05582599626686996,0.4871627826706514,0.234375,10.0,50.0,1.0
0.04336883984734904,0.718746528942853,0.34375,10.0,100.0,2.0
0.022018584368476504,0.8286040748122949,0.203125,13.0,250.0,3.0
-0.009679404059546481,0.589499941118593,0.1875,8.0,500.0,4.0
-0.0480805200643982,0.35015528532645407,0.328125,11.0,25.0,0.0
0.0915263464962821,0.5773976257188386,0.34375,13.0,50.0,1.0
0.049959044003524355,0.7283364043609835,0.40625,10.0,100.0,2.0
0.053043229092663284,0.8075888050442716,0.296875,9.0,250.0,3.0
0.004467354541798085,0.639109428423945,0.328125,11.0,500.0,4.0
-0.09348099312922876,0.32022306636616293,0.09375,13.0,25.0,0.0
0.03311387287124195,0.387916212902136,0.359375,10.0,50.0,1.0
0.06339841170778983,0.743955772586407,0.21875,20.0,100.0,2.0
-0.05224501477653745,1.0897509547073956,0.375,11.0,250.0,3.0
0.0180528682738964,0.6508899620273819,0.296875,14.0,500.0,4.0
-0.07255979767917387,0.32696205116920835,0.140625,18.0,25.0,0.0
-0.020894984971814388,0.4158178134456273,0.203125,8.0,50.0,1.0
-0.07908077898046768,0.5861695424880963,0.390625,9.0,100.0,2.0
-0.06764974714566167,1.0072931338230262,0.25,6.0,250.0,3.0
-0.02057724282582232,0.5893772987596637,0.34375,14.0,500.0,4.0
0.028031097219500225,0.3244377826863787,0.046875,10.0,25.0,0.0
-0.003784869032639039,0.4417616143657513,0.203125,7.0,50.0,1.0
0.005737365641592977,0.6751544039365026,0.0625,9.0,100.0,2.0
0.024224509751679602,0.9808716933407993,0.265625,7.0,250.0,3.0
